Hearing Date and Time Start,ALJ,Case
2015-08-12T09:00:00,Cyrus,14-003300
2015-08-12T09:00:00,Haggerty,14-003231
2015-08-12T10:30:00,Cyrus,14-003204
2015-08-12T13:00:00,Manley,14-002689
2015-08-12T13:00:00,Haggerty,14-003245
2015-08-12T13:00:00,Cyrus,14-003213
2015-08-12T14:30:00,Haggerty,14-003230
2015-08-13T09:00:00,Manley,14-003402
2015-08-13T09:00:00,Cyrus,14-003315
2015-08-13T09:30:00,Manley,14-001925
2015-08-13T10:30:00,Cyrus,14-003259
2015-08-13T11:00:00,Manley,14-003524
2015-08-13T13:00:00,Cyrus,14-003340
2015-08-13T13:00:00,Ballin,14-003246
2015-08-13T14:00:00,Cyrus,14-003347
2015-08-13T14:30:00,Ballin,14-003282
2015-08-14T13:00:00,Haggerty,14-003329
2015-08-14T14:00:00,Haggerty,14-003339
2015-08-17T09:30:00,Ballin,14-001372
2015-08-17T10:00:00,Ballin,14-003284
2015-08-17T13:00:00,Ballin,14-003344
2015-08-17T14:00:00,Ballin,14-003312
2015-08-18T09:00:00,Manley,14-003644
2015-08-18T09:00:00,Ballin,14-003356
2015-08-18T10:00:00,Manley,14-003555
2015-08-18T10:00:00,Ballin,14-003166
2015-08-18T10:30:00,Manley,14-004212
2015-08-18T10:30:00,Cyrus,14-003395
2015-08-18T13:00:00,Ballin,14-003441
2015-08-18T14:00:00,Cyrus,14-003479
2015-08-18T14:00:00,Ballin,14-001846
2015-08-18T15:00:00,Cyrus,14-003480
2015-08-19T10:00:00,Ballin,14-003444
2015-08-19T10:00:00,Cyrus,14-003459
2015-08-19T13:00:00,Cyrus,14-003490
2015-08-19T15:00:00,Cyrus,14-003919
2015-08-20T09:00:00,Manley,14-003600
2015-08-20T09:00:00,Ballin,14-003559
2015-08-20T09:00:00,Cyrus,14-003726
2015-08-20T09:30:00,Manley,15-000192
2015-08-20T10:00:00,Manley,14-003525
2015-08-20T10:00:00,Ballin,14-003550
2015-08-20T10:30:00,Manley,14-003575
2015-08-20T11:00:00,Manley,14-004318
2015-08-20T13:00:00,Cyrus,14-003669
2015-08-20T14:00:00,Ballin,14-003506
2015-08-20T14:00:00,Cyrus,14-003660
2015-08-24T09:00:00,Ballin,14-003819
2015-08-24T10:00:00,Cyrus,14-000154
2015-08-25T09:00:00,Cyrus,14-003830
2015-08-25T10:00:00,Cyrus,14-003839
2015-08-25T13:00:00,Cyrus,14-003870
2015-08-25T13:00:00,Cyrus,14-004229
2015-08-25T14:30:00,Ballin,14-003890
2015-08-26T10:00:00,Haggerty,14-003940
2015-08-26T10:30:00,Cyrus,14-003868
2015-08-26T13:00:00,Cyrus,14-003949
2015-08-26T14:00:00,Cyrus,14-003900
2015-08-26T15:00:00,Cyrus,14-003999
2015-08-28T13:00:00,Haggerty,14-003330
2015-08-28T14:00:00,Haggerty,14-003423
2015-08-31T09:00:00,Ballin,14-003959
2015-08-31T09:00:00,Ballin,14-003929
2015-08-31T09:00:00,Haggerty,14-004060
2015-08-31T10:00:00,Haggerty,14-003381
2015-08-31T13:00:00,Ballin,14-004069
2015-08-31T14:00:00,Ballin,14-004119
2015-08-31T14:30:00,Haggerty,14-004248
2015-08-31T15:00:00,Ballin,14-004100
2015-09-01T09:00:00,Ballin,14-001853
2015-09-02T10:30:00,Haggerty,14-002381
2015-09-02T14:30:00,Haggerty,14-001321
2015-09-03T09:00:00,Ballin,14-001614
2015-09-03T09:00:00,Cyrus,14-003234
2015-09-03T13:00:00,Ballin,14-002136
2015-09-03T13:00:00,Cyrus,14-002981
2015-09-03T14:00:00,Cyrus,14-004000
2015-09-03T15:00:00,Cyrus,14-003573
2015-09-08T09:00:00,Manley,14-002857
2015-09-08T09:00:00,Ballin,14-003345
2015-09-08T09:30:00,Manley,14-002850
2015-09-08T10:30:00,Manley,14-002885
2015-09-08T11:00:00,Manley,14-000566
2015-09-08T13:30:00,Manley,14-001495
2015-09-09T09:00:00,Haggerty,14-001770
2015-09-09T09:00:00,Manley,14-003990
2015-09-09T09:00:00,Haggerty,14-000902
2015-09-09T10:00:00,Manley,14-003516
2015-09-09T11:00:00,Manley,14-003615
2015-09-09T14:00:00,Haggerty,14-003359
2015-09-10T14:00:00,Ballin,14-002097
2015-09-15T13:00:00,Ballin,14-002729
2015-09-16T09:00:00,Cyrus,14-001552
2015-09-16T09:00:00,Haggerty,14-002726
2015-09-16T09:00:00,Haggerty,14-003766
2015-09-16T14:30:00,Haggerty,14-004270
2015-09-21T13:00:00,Ballin,15-000349
2015-09-21T13:00:00,Haggerty,14-000809
2015-09-21T13:00:00,Haggerty,14-001190
2015-09-21T13:00:00,Haggerty,14-002610
2015-09-21T13:00:00,Haggerty,14-004039
2015-09-21T14:00:00,Ballin,14-000137
2015-09-21T15:00:00,Ballin,14-001638
2015-09-22T09:00:00,Manley,14-000894
2015-09-23T09:00:00,Haggerty,14-001698
2015-09-23T14:30:00,Haggerty,14-001717
2015-09-24T09:00:00,Manley,14-000888
2015-09-24T10:30:00,Manley,14-003776
2015-09-24T11:00:00,Manley,14-003835
2015-09-24T13:00:00,Ballin,14-002051
2015-09-24T14:30:00,Cyrus,14-001765
2015-09-28T09:00:00,Ballin,14-002838
2015-09-28T10:00:00,Manley,14-004199
2015-09-28T10:00:00,Ballin,14-003048
2015-09-28T11:00:00,Manley,15-000590
2015-09-29T09:00:00,Manley,14-001195
2015-09-29T10:30:00,Manley,15-000390
2015-09-29T14:00:00,Cyrus,14-003090
2015-09-30T09:00:00,Cyrus,14-001617
2015-09-30T09:00:00,Manley,14-003107
2015-09-30T09:00:00,Manley,14-003108
2015-09-30T09:00:00,Manley,14-003117
2015-09-30T09:00:00,Manley,14-003118
2015-09-30T09:00:00,Manley,14-003127
2015-10-01T09:00:00,Manley,14-003605
2015-10-01T09:00:00,Ballin,14-004283
2015-10-01T09:00:00,Cyrus,14-002799
2015-10-01T10:00:00,Manley,14-003676
2015-10-01T10:00:00,Ballin,14-004285
2015-10-01T10:30:00,Manley,14-003713
2015-10-01T13:00:00,Ballin,14-002369
2015-10-01T13:00:00,Cyrus,14-001143
2015-10-01T13:00:00,Cyrus,14-001144
2015-10-05T13:00:00,Haggerty,14-002965
2015-10-05T13:00:00,Ballin,14-001057
2015-10-05T14:00:00,Haggerty,14-003462
2015-10-05T14:00:00,Haggerty,15-001441
2015-10-05T14:30:00,Ballin,14-001515
2015-10-06T10:00:00,Manley,14-003814
2015-10-06T11:00:00,Manley,14-003874
2015-10-06T15:00:00,Cyrus,14-003120
2015-10-07T09:00:00,Cyrus,14-003391
2015-10-07T09:00:00,Manley,14-001244
2015-10-07T09:00:00,Manley,14-001713
2015-10-07T09:00:00,Manley,14-001783
2015-10-07T09:00:00,Manley,14-002824
2015-10-07T09:00:00,Manley,14-003043
2015-10-07T09:00:00,Manley,14-003144
2015-10-08T09:00:00,Manley,14-003944
2015-10-08T09:00:00,Cyrus,15-001095
2015-10-08T09:30:00,Manley,14-004033
2015-10-08T10:00:00,Manley,14-004044
2015-10-08T11:00:00,Manley,14-004030
2015-10-08T13:00:00,Cyrus,14-001655
2015-10-08T14:00:00,Cyrus,14-003327
2015-10-09T09:00:00,Haggerty,14-000955
2015-10-13T15:00:00,Cyrus,14-002558
2015-10-14T09:00:00,Cyrus,14-003296
2015-10-14T10:00:00,Cyrus,14-003407
2015-10-14T10:00:00,Cyrus,15-001527
2015-10-14T13:00:00,Ballin,14-002739
2015-10-14T13:00:00,Cyrus,14-002154
2015-10-14T14:00:00,Haggerty,14-003333
2015-10-14T14:00:00,Haggerty,14-003334
2015-10-14T15:00:00,Cyrus,14-003455
2015-10-15T09:00:00,Cyrus,14-003408
2015-10-15T10:00:00,Cyrus,14-003489
2015-10-15T13:00:00,Cyrus,14-003068
2015-10-15T14:00:00,Cyrus,14-003058
2015-10-15T15:00:00,Cyrus,14-003067
2015-10-16T14:30:00,Haggerty,14-001395
2015-10-19T09:00:00,Cyrus,14-001236
2015-10-19T09:00:00,Haggerty,14-002546
2015-10-19T09:00:00,Ballin,14-003529
2015-10-19T10:00:00,Haggerty,14-002555
2015-10-19T10:00:00,Cyrus,14-001665
2015-10-19T10:30:00,Ballin,14-003547
2015-10-19T13:00:00,,14-001226
2015-10-19T13:00:00,Ballin,14-001035
2015-10-19T13:00:00,Ballin,14-001036
2015-10-19T13:00:00,Ballin,14-001041
2015-10-19T13:00:00,Ballin,14-001055
2015-10-19T13:00:00,Ballin,14-001067
2015-10-19T13:00:00,Ballin,14-001106
2015-10-19T13:00:00,Ballin,14-001105
2015-10-19T13:00:00,Ballin,14-001175
2015-10-20T09:00:00,Ballin,14-003739
2015-10-20T13:00:00,Ballin,14-004293
2015-10-20T14:00:00,Ballin,14-001477
2015-10-20T15:00:00,Ballin,14-001987
2015-10-21T09:00:00,Ballin,14-000865
2015-10-21T09:00:00,Haggerty,14-003557
2015-10-21T14:00:00,Haggerty,14-003577
2015-10-22T09:00:00,Manley,14-004070
2015-10-22T09:00:00,Ballin,14-003572
2015-10-22T09:00:00,Cyrus,14-003584
2015-10-22T10:00:00,Cyrus,14-003566
2015-10-22T10:00:00,Ballin,14-003597
2015-10-22T10:30:00,Manley,14-004114
2015-10-22T11:00:00,Manley,14-004151
2015-10-22T13:00:00,Cyrus,14-003638
2015-10-22T13:00:00,Ballin,14-003628
2015-10-22T14:30:00,Cyrus,14-003645
2015-10-23T13:00:00,Haggerty,14-002349
2015-10-23T14:00:00,Haggerty,14-001849
2015-10-26T09:00:00,Ballin,14-003655
2015-10-26T10:00:00,Ballin,14-003585
2015-10-27T09:00:00,Manley,14-000886
2015-10-27T09:30:00,Manley,14-001355
2015-10-27T10:00:00,Manley,14-001396
2015-10-27T10:00:00,Ballin,14-003684
2015-10-27T10:00:00,Cyrus,14-003702
2015-10-27T10:30:00,Manley,14-001656
2015-10-27T13:00:00,Cyrus,14-003446
2015-10-27T14:30:00,Cyrus,14-003746
2015-10-27T14:30:00,Ballin,14-003938
2015-10-28T09:00:00,Manley,14-003239
2015-10-28T09:00:00,Manley,14-003420
2015-10-28T09:00:00,Manley,14-003429
2015-10-28T09:00:00,Manley,14-003419
2015-10-28T10:00:00,Cyrus,14-003703
2015-10-28T13:00:00,Cyrus,14-003773
2015-10-28T15:00:00,Ballin,14-003646
2015-10-28T15:00:00,Cyrus,14-003755
2015-10-29T09:00:00,Ballin,14-003774
2015-10-29T09:00:00,Cyrus,14-003815
2015-10-29T10:00:00,Ballin,14-003796
2015-10-29T10:30:00,Manley,14-003833
2015-10-29T10:30:00,Cyrus,14-003779
2015-10-29T11:00:00,Manley,15-000154
2015-10-29T13:00:00,Cyrus,14-003811
2015-10-29T14:00:00,Cyrus,14-003818
2015-10-29T15:00:00,Cyrus,14-003866
2015-11-02T09:00:00,Ballin,14-002348
2015-11-02T09:00:00,Haggerty,14-000627
2015-11-02T10:00:00,Ballin,14-002896
2015-11-02T13:30:00,Ballin,14-003670
2015-11-03T09:00:00,Ballin,14-001688
2015-11-03T10:00:00,Manley,15-000464
2015-11-03T10:30:00,Manley,15-000494
2015-11-03T10:30:00,Ballin,14-003114
2015-11-03T11:00:00,Manley,15-000533
2015-11-03T11:30:00,Manley,14-002606
2015-11-03T13:00:00,Ballin,14-003167
2015-11-03T15:00:00,Ballin,14-003636
2015-11-03T21:00:00,Manley,15-000303
2015-11-05T09:00:00,Ballin,14-003674
2015-11-05T09:00:00,Cyrus,14-003907
2015-11-05T10:00:00,Cyrus,14-003445
2015-11-05T10:00:00,Ballin,14-001697
2015-11-05T13:00:00,Cyrus,14-003942
2015-11-05T13:00:00,Ballin,14-003895
2015-11-05T14:00:00,Cyrus,14-003861
2015-11-06T09:00:00,Haggerty,14-003914
2015-11-06T13:00:00,Haggerty,14-003943
2015-11-06T15:00:00,Haggerty,14-003962
2015-11-09T10:00:00,Ballin,14-003543
2015-11-09T13:00:00,Ballin,14-004005
2015-11-10T09:00:00,Ballin,14-004018
2015-11-10T10:00:00,Cyrus,14-003469
2015-11-10T10:30:00,Ballin,14-003997
2015-11-10T13:00:00,Ballin,14-004127
2015-11-10T13:00:00,Cyrus,14-003537
2015-11-12T09:00:00,Cyrus,14-003504
2015-11-12T09:00:00,Cyrus,14-003625
2015-11-12T10:00:00,Cyrus,14-003626
2015-11-12T10:30:00,Cyrus,15-000561
2015-11-13T09:00:00,Haggerty,14-004003
2015-11-13T10:00:00,Haggerty,14-004011
2015-11-13T13:00:00,Haggerty,14-004021
2015-11-13T14:00:00,Haggerty,14-004023
2015-11-13T15:00:00,Haggerty,15-000095
2015-11-16T09:00:00,Haggerty,14-004092
2015-11-16T13:00:00,Haggerty,14-004034
2015-11-16T14:00:00,Haggerty,14-004046
2015-11-16T15:00:00,Haggerty,14-004053
2015-11-17T09:00:00,Ballin,15-000130
2015-11-17T13:00:00,Ballin,14-003685
2015-11-18T09:00:00,Cyrus,14-002518
2015-11-18T09:00:00,Haggerty,14-003751
2015-11-18T10:30:00,Haggerty,14-004135
2015-11-18T13:00:00,Haggerty,14-004184
2015-11-18T14:30:00,Cyrus,14-004068
2015-11-19T09:00:00,Ballin,14-004134
2015-11-19T09:00:00,Cyrus,14-004215
2015-11-19T10:00:00,Ballin,14-004186
2015-11-19T15:00:00,Cyrus,14-004201
2015-11-20T09:00:00,Haggerty,14-001594
2015-11-23T09:00:00,Ballin,14-004257
2015-11-23T09:00:00,Haggerty,14-004233
2015-11-23T10:00:00,Ballin,14-004223
2015-11-23T10:30:00,Haggerty,14-004234
2015-11-23T13:00:00,Haggerty,14-004236
2015-11-23T15:00:00,Ballin,14-004206
2015-11-24T09:00:00,Cyrus,14-004349
2015-11-24T10:00:00,Cyrus,14-004359
2015-11-24T13:00:00,Ballin,14-004291
2015-11-24T13:00:00,Cyrus,14-001969
2015-11-24T14:00:00,Ballin,14-004339
2015-12-01T09:00:00,Cyrus,14-003724
2015-12-01T13:00:00,Cyrus,14-003747
2015-12-02T09:00:00,Haggerty,14-004079
2015-12-02T10:00:00,Haggerty,14-003376
2015-12-02T13:00:00,Cyrus,14-001564
2015-12-02T13:00:00,Haggerty,14-002605
2015-12-02T14:00:00,Cyrus,14-003627
2015-12-03T09:00:00,Manley,14-004183
2015-12-03T09:00:00,Ballin,14-003184
2015-12-03T09:00:00,,14-004129
2015-12-03T09:00:00,Cyrus,14-003499
2015-12-03T09:00:00,Cyrus,15-000180
2015-12-03T09:00:00,Cyrus,15-000319
2015-12-03T09:00:00,Cyrus,15-000339
2015-12-03T09:00:00,Cyrus,15-001099
2015-12-03T10:00:00,Ballin,14-003274
2015-12-03T11:00:00,Manley,14-000815
2015-12-03T14:00:00,Ballin,14-004087
2015-12-04T09:30:00,Haggerty,14-001099
2015-12-07T09:00:00,Haggerty,14-002162
2015-12-07T10:00:00,Ballin,14-003174
2015-12-07T10:00:00,Haggerty,14-002508
2015-12-07T15:00:00,Ballin,14-004304
2015-12-07T15:00:00,Ballin,15-000053
2015-12-08T09:00:00,Ballin,14-001842
2015-12-08T09:00:00,Cyrus,15-000034
2015-12-08T10:30:00,Cyrus,14-004263
2015-12-08T13:00:00,Ballin,14-002081
2015-12-08T13:00:00,Ballin,14-002681
2015-12-09T09:00:00,Manley,14-004164
2015-12-09T09:00:00,Haggerty,14-002522
2015-12-09T10:00:00,Cyrus,14-001117
2015-12-09T10:30:00,Manley,14-004035
2015-12-09T13:00:00,Cyrus,14-003007
2015-12-10T09:00:00,Ballin,15-000040
2015-12-10T14:00:00,Ballin,14-003991
2015-12-10T14:00:00,Cyrus,14-003663
2015-12-11T10:00:00,Cyrus,14-003508
2015-12-11T15:00:00,Haggerty,15-000139
2015-12-14T13:00:00,Ballin,14-003106
2015-12-14T13:00:00,Haggerty,14-003194
2015-12-14T13:00:00,Haggerty,14-003473
2015-12-14T13:00:00,Haggerty,14-003624
2015-12-14T13:00:00,Haggerty,14-004146
2015-12-15T09:30:00,Cyrus,14-001616
2015-12-15T11:00:00,Manley,14-004194
2015-12-15T13:00:00,Cyrus,14-003046
2015-12-16T09:00:00,Manley,15-000024
2015-12-16T09:00:00,Haggerty,14-002059
2015-12-16T10:00:00,Manley,15-000047
2015-12-16T11:00:00,Manley,14-003742
2015-12-17T09:00:00,Ballin,14-004173
2015-12-17T09:00:00,Cyrus,14-000584
2015-12-17T09:30:00,Manley,15-000854
2015-12-17T10:00:00,Manley,15-001000
2015-12-17T10:00:00,Ballin,14-004075
2015-12-17T10:30:00,Manley,15-001107
2015-12-17T11:00:00,Manley,15-001192
2015-12-17T13:00:00,Ballin,14-004083
2015-12-17T13:00:00,Cyrus,14-004346
2015-12-21T09:00:00,Cyrus,15-000033
2015-12-21T09:00:00,Cyrus,15-000019
2015-12-21T09:00:00,Ballin,14-000875
2015-12-21T09:00:00,Ballin,14-001364
2015-12-21T09:00:00,Ballin,14-002134
2015-12-21T09:00:00,Ballin,14-002913
2015-12-21T14:30:00,Ballin,15-000014
2015-12-22T10:00:00,Ballin,15-000026
2015-12-22T13:00:00,Cyrus,14-002903
2015-12-23T13:00:00,Ballin,14-003844
2016-01-04T09:00:00,Haggerty,15-000108
2016-01-04T10:30:00,Haggerty,15-000105
2016-01-05T09:00:00,Manley,14-001382
2016-01-05T09:30:00,Manley,15-000742
2016-01-05T10:00:00,Manley,15-001500
2016-01-05T10:30:00,Ballin,15-000100
2016-01-05T10:30:00,Cyrus,15-000132
2016-01-05T15:00:00,Ballin,15-000126
2016-01-06T09:00:00,Manley,15-001245
2016-01-06T09:00:00,Haggerty,15-000109
2016-01-06T09:30:00,Manley,15-001026
2016-01-06T10:00:00,Manley,15-002100
2016-01-06T10:30:00,Cyrus,15-001570
2016-01-06T10:30:00,Haggerty,15-000174
2016-01-06T13:00:00,Manley,14-001096
2016-01-06T13:00:00,Haggerty,15-000179
2016-01-06T14:00:00,Haggerty,14-000872
2016-01-06T14:00:00,Haggerty,15-000194
2016-01-06T15:00:00,Cyrus,15-000173
2016-01-06T15:00:00,Haggerty,15-000243
2016-01-07T10:30:00,Ballin,15-000257
2016-01-07T10:30:00,Cyrus,15-000267
2016-01-07T11:00:00,Manley,15-001405
2016-01-07T15:00:00,Ballin,15-000320
2016-01-07T15:00:00,Cyrus,15-000329
2016-01-08T09:00:00,Haggerty,15-000177
2016-01-08T10:30:00,Haggerty,15-000350
2016-01-08T14:00:00,Haggerty,15-000355
2016-01-08T15:00:00,Haggerty,15-000358
2016-01-12T09:00:00,Ballin,15-000610
2016-01-12T09:00:00,Haggerty,15-000850
2016-01-12T09:00:00,Manley,15-000945
2016-01-12T09:00:00,Cyrus,14-000873
2016-01-12T09:30:00,Haggerty,15-000894
2016-01-12T09:30:00,Manley,15-000963
2016-01-12T09:30:00,Ballin,15-000666
2016-01-12T10:00:00,Haggerty,15-000920
2016-01-12T10:00:00,Manley,15-001033
2016-01-12T10:30:00,Ballin,15-000714
2016-01-12T10:30:00,Haggerty,15-000923
2016-01-12T11:00:00,Haggerty,15-000929
2016-01-12T11:00:00,Manley,15-001056
2016-01-12T13:00:00,Cyrus,15-000265
2016-01-12T14:30:00,Cyrus,15-000266
2016-01-13T09:00:00,Ballin,15-001074
2016-01-13T09:00:00,Manley,15-001362
2016-01-13T09:00:00,Manley,15-001381
2016-01-13T09:30:00,Ballin,15-001172
2016-01-13T10:00:00,Ballin,15-000445
2016-01-13T10:00:00,Manley,15-001423
2016-01-13T10:30:00,Manley,15-001450
2016-01-13T11:00:00,Ballin,15-001269
2016-01-13T13:00:00,Cyrus,15-000279
2016-01-13T14:30:00,Cyrus,15-000281
2016-01-14T10:00:00,Ballin,15-001552
2016-01-14T10:30:00,Manley,15-001955
2016-01-14T11:00:00,Haggerty,15-001774
2016-01-14T11:00:00,Manley,15-000426
2016-01-19T09:00:00,Manley,15-001092
2016-01-19T09:00:00,Ballin,15-000289
2016-01-19T09:30:00,Manley,14-000522
2016-01-19T10:30:00,Manley,14-000822
2016-01-19T11:00:00,Manley,15-000732
2016-01-19T13:00:00,Ballin,15-000184
2016-01-20T09:00:00,Manley,14-003934
2016-01-20T09:30:00,Manley,15-000386
2016-01-20T10:00:00,Manley,15-000237
2016-01-20T10:30:00,Manley,15-000167
2016-01-20T10:30:00,Haggerty,15-000436
2016-01-20T11:00:00,Manley,15-002035
2016-01-20T15:00:00,Haggerty,15-000397
2016-01-21T09:00:00,Manley,15-002040
2016-01-21T09:00:00,Cyrus,14-002169
2016-01-21T09:30:00,Manley,15-000118
2016-01-21T10:00:00,Manley,15-001949
2016-01-21T10:30:00,Manley,15-000107
2016-01-21T13:00:00,Cyrus,14-003827
2016-01-26T09:00:00,Cyrus,14-002068
2016-01-26T09:00:00,Manley,14-003355
2016-01-26T09:00:00,Haggerty,15-000484
2016-01-26T10:00:00,Cyrus,14-003038
2016-01-26T10:30:00,Ballin,14-000431
2016-01-26T10:30:00,Cyrus,14-003178
2016-01-26T10:30:00,Haggerty,14-003361
2016-01-26T10:30:00,Manley,14-004358
2016-01-26T11:00:00,Cyrus,14-003205
2016-01-26T11:00:00,Haggerty,14-003714
2016-01-26T11:00:00,Manley,14-003532
2016-01-27T09:00:00,Ballin,14-003556
2016-01-27T09:00:00,Haggerty,14-004242
2016-01-27T09:00:00,Manley,14-004219
2016-01-27T09:30:00,Ballin,14-003591
2016-01-27T09:30:00,Haggerty,14-004255
2016-01-27T09:30:00,Manley,15-002600
2016-01-27T10:00:00,Haggerty,14-004258
2016-01-27T10:00:00,Manley,15-002179
2016-01-27T10:30:00,Ballin,14-003825
2016-01-27T10:30:00,Haggerty,14-004271
2016-01-27T11:00:00,Haggerty,14-004305
2016-01-27T11:00:00,Manley,15-000017
2016-01-27T12:30:00,Manley,14-004356
2016-01-28T09:00:00,Cyrus,15-000054
2016-01-28T09:00:00,Haggerty,15-000550
2016-01-28T09:00:00,Manley,15-000585
2016-01-28T09:30:00,Ballin,15-000193
2016-01-28T09:30:00,Cyrus,15-000454
2016-01-28T09:30:00,Haggerty,15-000555
2016-01-28T10:00:00,Manley,15-000596
2016-01-28T10:30:00,Ballin,15-000286
2016-01-28T10:30:00,Manley,15-000586
2016-01-28T10:30:00,Haggerty,15-002057
2016-01-28T11:00:00,Ballin,15-000535
2016-02-01T09:00:00,Cyrus,14-004279
2016-02-01T10:00:00,Ballin,15-001403
2016-02-02T10:00:00,Manley,14-001988
2016-02-02T10:30:00,Ballin,14-003250
2016-02-02T10:30:00,Cyrus,15-002055
2016-02-03T09:00:00,Haggerty,14-001054
2016-02-03T09:00:00,Manley,15-000263
2016-02-03T09:00:00,Manley,15-000264
2016-02-03T09:00:00,Manley,15-000273
2016-02-03T09:00:00,Manley,15-000274
2016-02-03T09:00:00,Manley,15-000283
2016-02-03T09:00:00,Manley,15-000284
2016-02-03T09:00:00,Manley,15-000293
2016-02-03T09:00:00,Manley,15-000294
2016-02-03T09:00:00,Manley,15-001144
2016-02-03T13:00:00,Cyrus,14-002127
2016-02-03T14:00:00,Haggerty,14-003752
2016-02-04T09:00:00,Cyrus,15-000170
2016-02-04T10:00:00,Cyrus,14-004185
2016-02-04T13:00:00,Cyrus,14-003472
2016-02-04T14:00:00,Cyrus,14-000502
2016-02-05T10:00:00,Haggerty,14-004253
2016-02-05T13:00:00,Haggerty,14-003552
2016-02-08T09:00:00,Ballin,14-003812
2016-02-08T09:00:00,Haggerty,14-002924
2016-02-08T10:00:00,Ballin,14-003986
2016-02-08T10:00:00,Haggerty,14-000332
2016-02-08T13:00:00,Ballin,14-003848
2016-02-08T13:00:00,Manley,14-003977
2016-02-08T14:00:00,Ballin,14-003578
2016-02-09T13:00:00,Ballin,14-003888
2016-02-09T13:00:00,Cyrus,14-001428
2016-02-09T14:30:00,Ballin,15-000044
2016-02-09T14:30:00,Cyrus,14-004231
2016-02-10T09:00:00,Cyrus,15-000102
2016-02-10T09:00:00,Haggerty,15-000083
2016-02-10T10:00:00,Haggerty,15-000352
2016-02-10T13:00:00,Cyrus,14-003993
2016-02-10T13:00:00,Haggerty,14-004287
2016-02-10T14:00:00,Cyrus,14-003933
2016-02-10T14:00:00,Haggerty,15-000122
2016-02-10T15:00:00,Haggerty,15-000151
2016-02-11T09:00:00,Manley,14-004103
2016-02-16T13:00:00,Ballin,14-002042
2016-02-17T09:00:00,Cyrus,15-000340
2016-02-17T09:00:00,Cyrus,15-000849
2016-02-17T10:00:00,Cyrus,15-000155
2016-02-17T13:00:00,Manley,14-000163
2016-02-17T14:00:00,Haggerty,15-000249
2016-02-17T15:00:00,Cyrus,15-000160
2016-02-18T09:00:00,Manley,14-001608
2016-02-18T09:30:00,Manley,14-001658
2016-02-18T10:00:00,Manley,14-001958
2016-02-18T10:45:00,Manley,15-000507
2016-02-18T13:00:00,Ballin,15-000382
2016-02-19T09:00:00,Haggerty,14-004140
2016-02-22T09:00:00,Haggerty,15-000529
2016-02-22T10:30:00,Ballin,15-000526
2016-02-22T13:00:00,Ballin,15-000459
2016-02-22T14:00:00,Ballin,15-000190
2016-02-23T09:00:00,Manley,14-002357
2016-02-23T09:00:00,Ballin,15-000420
2016-02-23T09:00:00,Cyrus,14-003727
2016-02-23T10:00:00,Manley,14-003102
2016-02-23T13:00:00,Ballin,15-000197
2016-02-23T13:00:00,Cyrus,15-001513
2016-02-23T15:00:00,Ballin,15-000549
2016-02-24T09:00:00,Manley,15-000853
2016-02-24T09:00:00,Manley,15-001163
2016-02-24T09:00:00,Manley,15-001164
2016-02-24T09:00:00,Manley,15-001263
2016-02-24T09:00:00,Manley,15-001264
2016-02-24T09:00:00,Manley,15-001503
2016-02-24T09:00:00,Manley,15-001913
2016-02-24T09:00:00,Manley,15-001943
2016-02-24T09:00:00,Manley,15-001944
2016-02-24T09:00:00,Manley,15-002104
2016-02-24T09:00:00,Manley,15-002183
2016-02-24T15:00:00,Cyrus,15-000569
2016-02-25T09:00:00,Manley,14-003237
2016-02-25T09:00:00,Ballin,15-000595
2016-02-25T10:00:00,Ballin,15-000607
2016-02-25T10:30:00,Manley,14-003397
2016-02-25T10:30:00,Cyrus,15-000597
2016-02-25T11:00:00,Manley,14-004142
2016-02-25T13:00:00,Cyrus,15-000388
2016-02-25T15:00:00,Ballin,15-000600
2016-02-26T09:00:00,Haggerty,15-000625
2016-02-26T10:00:00,Haggerty,15-000487
2016-02-29T09:00:00,Ballin,15-000580
2016-02-29T10:00:00,Ballin,15-000435
2016-03-01T09:00:00,Cyrus,15-000778
2016-03-01T09:00:00,Manley,15-000015
2016-03-01T09:00:00,Ballin,15-000011
2016-03-01T10:00:00,Cyrus,14-000361
2016-03-01T10:30:00,Cyrus,14-002738
2016-03-01T13:00:00,Cyrus,14-002540
2016-03-01T14:00:00,Cyrus,14-004024
2016-03-02T09:00:00,Cyrus,15-000236
2016-03-02T10:00:00,Cyrus,14-003865
2016-03-02T10:30:00,Haggerty,15-000627
2016-03-02T13:00:00,Cyrus,15-001973
2016-03-02T13:00:00,Haggerty,15-000416
2016-03-02T13:45:00,Cyrus,15-002234
2016-03-02T15:00:00,Cyrus,14-002972
2016-03-03T09:00:00,Cyrus,15-000619
2016-03-03T09:30:00,Manley,15-000548
2016-03-03T10:00:00,Manley,15-000566
2016-03-03T10:30:00,Manley,15-000598
2016-03-03T11:00:00,Manley,15-000629
2016-03-03T13:00:00,Cyrus,15-000563
2016-03-03T14:30:00,Cyrus,15-001044
2016-03-04T10:30:00,Haggerty,15-000628
2016-03-04T13:00:00,Haggerty,15-000608
2016-03-08T09:00:00,Manley,14-003465
2016-03-08T09:00:00,Cyrus,14-002817
2016-03-08T09:00:00,Cyrus,14-003087
2016-03-08T09:00:00,Cyrus,14-003098
2016-03-08T09:00:00,Cyrus,14-003168
2016-03-08T09:00:00,Cyrus,14-003177
2016-03-08T09:00:00,Cyrus,14-003507
