Hearing Date and Time Start,ALJ,Case
2015-02-24T11:00:00,Manley,14-000169
2015-02-25T10:00:00,Cyrus,14-000266
2015-02-26T09:00:00,Manley,14-000345
2015-02-26T09:30:00,Manley,14-000799
2015-02-26T11:00:00,Manley,14-001009
2015-03-03T09:00:00,Manley,14-001357
2015-03-05T09:00:00,Cyrus,14-000448
2015-03-05T10:00:00,Cyrus,14-000447
2015-03-09T10:00:00,Haggerty,14-001393
2015-03-09T13:00:00,Haggerty,14-000964
2015-03-10T13:00:00,Cyrus,14-000301
2015-03-11T13:00:00,Manley,14-000585
2015-03-11T13:00:00,Manley,14-001567
2015-03-12T13:00:00,Ballin,14-001094
2015-03-12T14:00:00,Ballin,14-001101
2015-03-12T15:00:00,Ballin,14-001107
2015-03-16T10:00:00,Haggerty,14-001551
2015-03-17T09:00:00,Manley,14-001863
2015-03-17T13:00:00,Ballin,14-002527
2015-03-18T09:00:00,Manley,14-001483
2015-03-18T09:00:00,Manley,14-001484
2015-03-18T09:00:00,Manley,14-001573
2015-03-18T09:00:00,Manley,14-001633
2015-03-18T09:00:00,Manley,14-001634
2015-03-18T09:00:00,Manley,14-001654
2015-03-19T09:00:00,Ballin,14-000262
2015-03-19T09:00:00,Cyrus,14-000766
2015-03-19T11:00:00,Manley,14-000927
2015-03-19T13:00:00,Cyrus,14-000185
2015-03-19T14:00:00,Cyrus,14-000246
2015-03-19T15:00:00,Cyrus,14-000296
2015-03-20T09:00:00,Haggerty,14-000302
2015-03-20T10:30:00,Haggerty,14-000615
2015-03-20T13:00:00,Haggerty,14-000501
2015-03-20T13:45:00,Cyrus,14-000065
2015-03-23T09:00:00,Ballin,14-000723
2015-03-23T10:00:00,Ballin,14-000724
2015-03-23T13:00:00,Manley,14-000819
2015-03-23T13:00:00,Ballin,14-000546
2015-03-23T13:00:00,Ballin,14-000555
2015-03-23T13:00:00,Ballin,14-002046
2015-03-24T09:00:00,Manley,14-000165
2015-03-24T09:00:00,Ballin,14-000787
2015-03-24T09:30:00,Manley,14-000986
2015-03-24T11:00:00,Manley,14-001554
2015-03-30T10:30:00,Haggerty,14-000076
2015-03-30T15:00:00,Haggerty,14-000113
2015-03-31T09:00:00,Cyrus,14-000777
2015-03-31T09:00:00,Cyrus,14-001687
2015-03-31T10:30:00,Ballin,14-000063
2015-03-31T10:30:00,Cyrus,14-000130
2015-03-31T13:00:00,Cyrus,14-000194
2015-03-31T13:00:00,Ballin,14-000077
2015-03-31T14:00:00,Ballin,14-000096
2015-03-31T14:00:00,Cyrus,14-000254
2015-04-01T09:00:00,Haggerty,14-000281
2015-04-01T09:00:00,Cyrus,14-000206
2015-04-01T09:00:00,Manley,14-002003
2015-04-01T09:00:00,Manley,14-000044
2015-04-01T10:30:00,Cyrus,14-000358
2015-04-01T13:00:00,Cyrus,14-000236
2015-04-01T13:00:00,Haggerty,14-000298
2015-04-01T15:00:00,Cyrus,14-000264
2015-04-01T15:00:00,Haggerty,14-000375
2015-04-02T09:00:00,Cyrus,14-000521
2015-04-02T09:00:00,Ballin,14-000325
2015-04-02T09:00:00,Manley,14-000380
2015-04-02T10:00:00,Cyrus,14-000438
2015-04-02T13:00:00,Cyrus,14-000536
2015-04-02T13:00:00,Ballin,14-000499
2015-04-02T13:00:00,Cyrus,14-000337
2015-04-02T13:00:00,Cyrus,14-000338
2015-04-03T09:00:00,Haggerty,14-000581
2015-04-06T09:00:00,Ballin,14-000553
2015-04-06T09:00:00,Ballin,14-000563
2015-04-06T09:00:00,Ballin,14-000573
2015-04-06T10:30:00,Haggerty,14-000608
2015-04-06T15:00:00,Haggerty,14-000582
2015-04-07T09:00:00,Cyrus,14-000825
2015-04-07T09:00:00,Ballin,14-000540
2015-04-07T09:30:00,Manley,14-001376
2015-04-07T10:00:00,Manley,14-001455
2015-04-07T10:00:00,Cyrus,14-000841
2015-04-07T10:30:00,Manley,14-001506
2015-04-07T11:00:00,Manley,14-001556
2015-04-07T11:00:00,Cyrus,14-000857
2015-04-07T13:00:00,Ballin,14-000686
2015-04-07T14:00:00,Ballin,14-000725
2015-04-08T10:30:00,Cyrus,14-000871
2015-04-08T10:30:00,Haggerty,14-000895
2015-04-08T13:00:00,Haggerty,14-000813
2015-04-09T09:00:00,Manley,14-001676
2015-04-09T09:00:00,Ballin,14-001065
2015-04-09T09:30:00,Manley,14-002177
2015-04-09T10:00:00,Manley,14-002554
2015-04-09T10:30:00,Manley,14-002623
2015-04-09T13:00:00,Cyrus,14-000586
2015-04-10T13:00:00,Haggerty,14-000900
2015-04-10T14:00:00,Haggerty,14-000916
2015-04-13T09:00:00,Haggerty,14-000923
2015-04-14T09:00:00,Cyrus,14-000945
2015-04-14T09:00:00,Manley,14-004067
